test_nodeid,source,status,evidence
tests/test_phase0b_critical.py::test_c01_region_followup_preserves_metric_and_period,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c02_complete_new_hospital_task_does_not_inherit_sales,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c03_add_preserves_both_previous_metrics,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c04_replace_region_removes_previous_region,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c05_remove_metric_does_not_remove_remaining_metric,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c06_clear_region_survives_next_grain_turn,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c07_pending_cannot_capture_complete_new_task_with_missing_execution_slot,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c08_field_lineage_does_not_require_metric,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c09_governed_default_display_is_used_without_field_question,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c10_display_limit_preserves_row_order,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c11_ranking_uses_requested_count_and_order,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c12_truncated_dataset_cannot_establish_global_top5,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c13_quantity_surface_is_not_lost_as_attribute,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c14_product_name_role_depends_on_requested_operation,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_critical.py::test_c15_default_time_cannot_determine_turn_relation,CRITICAL,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_real_orchestrator_slot_operations[utterances0-expected_metrics0-expected_regions0],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_real_orchestrator_slot_operations[utterances1-expected_metrics1-expected_regions1],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_real_orchestrator_slot_operations[utterances2-expected_metrics2-expected_regions2],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_real_orchestrator_slot_operations[utterances3-expected_metrics3-expected_regions3],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_single_merge_operation_contrasts[\u9500\u552e\u989d\u548c\u9500\u552e\u91cf-\u518d\u52a0\u8ba2\u5355\u7b14\u6570-expected0],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_single_merge_operation_contrasts[\u9500\u552e\u989d\u548c\u9500\u552e\u91cf-\u6362\u6210\u8ba2\u5355\u7b14\u6570-expected1],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_single_merge_operation_contrasts[\u9500\u552e\u989d\u548c\u8ba2\u5355\u7b14\u6570-\u4e0d\u8981\u8ba2\u5355\u7b14\u6570-expected2],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_single_merge_operation_contrasts[\u9500\u552e\u989d\u548c\u8ba2\u5355\u7b14\u6570-\u518d\u52a0\u8ba2\u5355\u7b14\u6570-expected3],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_clear_contrast_new_region_explicitly_reopens_scope,REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_metric_add_is_idempotent_and_order_does_not_drop_old_metrics,REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_lineage_targets_are_intent_specific[METRIC],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_lineage_targets_are_intent_specific[FIELD],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_lineage_targets_are_intent_specific[COLUMN],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_lineage_targets_are_intent_specific[TABLE],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_lineage_targets_are_intent_specific[ENTITY],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_lineage_targets_are_intent_specific[DATASET],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_catalog_default_requires_version_entity_and_permission[policy0],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_catalog_default_requires_version_entity_and_permission[policy1],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
tests/test_phase0b_regressions.py::test_catalog_default_requires_version_entity_and_permission[policy2],REGRESSION_CONTRAST_METAMORPHIC,passed,docs/phase0b/final_verified_test_gate.json
