surface,candidate_count,catalog_types,candidate_codes
业务员,2,DIMENSION|ENTITY,salesperson|salesperson
产品分类标识,2,ATTRIBUTE,product_category.category_id|product.category_id
产品线分类标识,2,ATTRIBUTE,product_line.product_line_id|product.product_line_id
医院,2,DIMENSION|ENTITY,hospital|hospital
医院标识,3,ATTRIBUTE,project.hospital_id|sales_order.hospital_id|hospital.hospital_id
医院等级,2,ATTRIBUTE|DIMENSION,hospital_level|hospital.hospital_level
厂家编码,2,ATTRIBUTE,main_data_domain_ent_manufacturer.manufacturer_code|product.manufacturer_code
商品,2,DIMENSION|ENTITY,product|product
商品名称,2,ATTRIBUTE|DIMENSION,product|product.product_name
商品编码,3,ATTRIBUTE,sales_order.product_code|product.product_code|product_dept_relation.product_code
国药公司编码,3,ATTRIBUTE,salesperson.guoyao_code|sales_company.guoyao_code|product.guoyao_code
市,2,DIMENSION|ENTITY,city|city
母厂牌,2,ATTRIBUTE|DIMENSION,product_brand|main_data_domain_ent_manufacturer.parent_brand
省份,3,DIMENSION|ENTITY,province|province|province
科室,2,DIMENSION|ENTITY,department|department
科室编码,2,ATTRIBUTE,department.dept_code|product_dept_relation.dept_code
经销商,2,DIMENSION|ENTITY,dealer|dealer
经销商编码,2,ATTRIBUTE,sales_order.dealer_code|dealer.dealer_code
订单日期,2,ATTRIBUTE|DIMENSION,transaction_date|sales_order.created_date
销售员编码,3,ATTRIBUTE,salesperson.salesperson_code|project.salesperson_code|sales_order.salesperson_code
销售数量,2,ATTRIBUTE|METRIC,sales_total_quantity|sales_order.quantity
项目编码,2,ATTRIBUTE,project.project_code|sales_order.project_code
